root_id,supervoxel_id,position,type,is_fafb_ol_type,confidence
720575941393806998,79306537164357488,"[211932, 30335, 1763]",,False,
720575941393815702,78462730776570849,"[187308, 48072, 2002]",,False,
720575941393818884,78814780454243778,"[198073, 53957, 1112]",T2,True,
720575941393824662,78814299887543119,"[197712, 39538, 2864]",T4c,True,
720575941393826966,79236099834976603,"[210277, 27654, 2288]",L5,True,
720575941393830550,78603124734367193,"[191164, 38427, 2164]",T5b,True,
720575941393845142,79517299597608413,"[217103, 20225, 993]",L5,True,
720575941393868804,78462661721243972,"[188171, 45209, 617]",,False,
720575941393869060,78955380504077956,"[201137, 50485, 1269]",,False,
720575941393869316,78532824575946104,"[188852, 39918, 1786]",,False,
720575941393872900,78532824642368366,"[188832, 39048, 1834]",CB1957,False,low
720575941393873046,78955243400191545,"[202082, 45902, 2371]",,False,
720575941393874436,79095980485800171,"[205698, 46662, 804]",,False,
720575941393875094,78603124667040864,"[191175, 37332, 1816]",,False,
720575941393876740,79025268614472410,"[203916, 36491, 2762]",,False,
720575941393899268,78251074720671407,"[181673, 31211, 1563]",,False,
720575941393899780,79095293224201305,"[206702, 26048, 645]",,False,
720575941393908228,78391675307473988,"[185525, 27979, 3833]",Sm04,True,
720575941393908886,78532137582132799,"[189393, 18715, 2447]",,False,
720575941393909398,78391331374175397,"[185176, 16938, 2430]",,False,
720575941393912324,78321993287685069,"[183493, 48380, 1810]",T5b,True,
720575941393929732,78251280745313511,"[181396, 37015, 1235]",,False,
720575941393930390,78392636708547143,"[185569, 55699, 1073]",T4c,True,
720575941393931780,78884324632099921,"[199268, 30060, 1470]",,False,
720575941393937668,78532550033165044,"[189952, 32365, 2959]",Pm06,True,
720575941393941398,78602850460824882,"[191174, 30623, 4592]",,False,
720575941393942276,79095087535565728,"[206025, 19894, 2450]",,False,
720575941393944580,78884805735351936,"[200600, 45054, 1656]",T4a,True,
720575941393946116,78321443934905715,"[183342, 31676, 3487]",T4c,True,
720575941393948822,78673150418251954,"[193962, 27751, 4276]",,False,
720575941393950358,78392018233357255,"[184353, 37120, 1107]",,False,
720575941393950724,78462730575299154,"[186938, 48985, 1253]",,False,
720575941393951492,77970424579276638,"[172513, 56710, 2449]",T5c,True,
720575941393953686,78321855580647986,"[183807, 43467, 1002]",,False,
720575941393956246,78814161911847163,"[196747, 36564, 854]",,False,
720575941393958038,78392018165973969,"[184736, 37504, 804]",,False,
720575941393968022,78391744294801976,"[186002, 28855, 4628]",,False,
720575941393978372,78602918777064126,"[190754, 32280, 2851]",T4c,True,
720575941393982614,78321443934975446,"[184214, 32384, 3518]",T4c,True,
720575941393991172,78602712350397819,"[191487, 25998, 1895]",Mi13,True,
720575941393991428,79235893877853396,"[209322, 21382, 3055]",Mi1,True,
720575941393991684,78602918844334182,"[192016, 32661, 3163]",T2a,True,
720575941393992196,78532825045495083,"[189452, 38932, 3541]",T5c,True,
720575941393994902,78743931009513853,"[195085, 40255, 2489]",,False,
720575941393995414,78673905527050386,"[192691, 50217, 1153]",T4c,True,
720575941393996036,79236030712380842,"[210552, 25950, 581]",,False,
720575941394005252,78884668027794920,"[200460, 39990, 577]",,False,
720575941394006020,79517849622045113,"[217539, 35968, 1867]",,False,
720575941394007958,78532824642298224,"[188949, 39066, 1809]",T4c,True,
720575941394015638,78602643966424277,"[192195, 23933, 3157]",,False,
720575941394016150,78743449704984304,"[195939, 25810, 1532]",Tm9,True,
720575941394023830,78532549630605086,"[189023, 31854, 1446]",,False,
720575941394031254,78743587747747359,"[196448, 29202, 3798]",,False,
720575941394040214,78673561862226480,"[193569, 40638, 782]",,False,
720575941394042006,78321443867933534,"[183952, 30982, 3271]",T2,True,
720575941394043030,78743793637580243,"[194860, 36688, 2703]",,False,
720575941394045334,78391675173126045,"[186042, 27466, 3267]",T2,True,
720575941394049028,78392362434990712,"[184906, 48690, 3522]",,False,
720575941394050454,78532687606344706,"[189501, 35836, 3473]",T4c,True,
720575941394051990,78462387447501881,"[186746, 37912, 2976]",T5b,True,
720575941394054806,78321718880093537,"[182622, 40290, 3811]",T5c,True,
720575941394056452,78392224526223700,"[185577, 44115, 1711]",,False,
720575941394059670,78321993221184121,"[184070, 47578, 1784]",T5b,True,
720575941394065668,79377318359361145,"[213074, 41421, 2181]",C3,True,
720575941394071044,78321855580468484,"[182530, 43948, 938]",,False,
720575941394092292,79165593785762089,"[208386, 23051, 2701]",,False,
720575941394099350,78954762833693526,"[202353, 31265, 4189]",,False,
720575941394100374,78462112569041940,"[187476, 29902, 2816]",C3,True,
720575941394102020,78813612626248636,"[198368, 20315, 2807]",,False,
720575941394106884,79095500120671157,"[205013, 32578, 3416]",TmY4,True,
720575941394108932,78954281394608454,"[201666, 18150, 2618]",,False,
720575941394112004,78111161732128485,"[176963, 55621, 1178]",T5c,True,
720575941394113284,78110406086505000,"[177440, 33834, 2272]",,False,
720575941394114052,79447068494276126,"[215502, 23559, 1758]",Tm3,True,
720575941394115076,79376905908244588,"[214833, 29321, 1661]",Tm1,True,
720575941394120964,78884599509738713,"[200285, 36865, 1372]",,False,
720575941394124036,79025817765754461,"[202788, 51742, 415]",,False,
720575941394126340,78462043514339036,"[188138, 26753, 1612]",,False,
720575941394132484,78743381119611625,"[194803, 22532, 2009]",,False,
720575941394135556,78462112099882347,"[187748, 30616, 1196]",,False,
720575941394137092,78533099319471944,"[188953, 48697, 1247]",,False,
720575941394144004,79165800279509506,"[207442, 30681, 3895]",,False,
720575941394148100,78391743825403422,"[185818, 29875, 2974]",LMa4,True,
720575941394148612,78040724671232677,"[175002, 54320, 2754]",,False,
720575941394153476,79236168218831333,"[210005, 29591, 985]",,False,
720575941394155012,79236580871144735,"[210908, 42336, 2229]",,False,
720575941394156548,79236237475249347,"[210364, 32352, 3060]",Tm3,True,
720575941394164740,78321581037955611,"[183834, 35043, 2076]",,False,
720575941394166532,78884599442911887,"[199617, 37261, 1220]",,False,
720575941394191620,79306674871227173,"[212483, 33570, 2586]",Mi1,True,
720575941394191876,79095842979872010,"[205954, 41398, 601]",,False,
720575941394199812,78813819052668045,"[197538, 26604, 3681]",,False,
720575941394203396,79166074285343307,"[207306, 38282, 693]",,False,
720575941394210820,79095156456162512,"[205244, 22351, 3139]",Mi4,True,
720575941394214806,78884668430832083,"[198945, 40557, 2250]",T3,True,
720575941394223364,78884943040083679,"[199466, 48688, 1140]",,False,
720575941394233494,78884737150013556,"[199965, 41088, 2140]",,False,
720575941394245380,78181187616770685,"[179001, 46535, 3868]",T5c,True,
