root_id,supervoxel_id,position,type,is_fafb_ol_type
720575941392515076,73044337407367826,"[30429, 48626, 1597]",Tm25,True
720575941392518916,73466481488508882,"[42947, 45819, 2876]",T2,True
720575941392523268,73677450081243630,"[47220, 42735, 2274]",T3,True
720575941392523780,73536781781651031,"[44661, 44078, 3901]",T4a,True
720575941392527108,73677106684876624,"[47438, 30960, 2940]",,False
720575941392587780,73044474779148034,"[29279, 51975, 1315]",,False
720575941392613380,74169482138213027,"[62665, 25027, 4423]",Mi15,True
720575941392615940,73677930848627156,"[49115, 55681, 1077]",T2,True
720575941392616964,73184456286265030,"[33856, 30210, 1086]",T1,True
720575941392650756,74100006277920002,"[61404, 52857, 2795]",,False
720575941392663556,73396112207559377,"[38962, 46012, 865]",Mi2,True
720575941392737174,73114500060328610,"[32069, 41253, 1878]",TmY4,True
720575941392851460,74028744314105737,"[57817, 25714, 3073]",Tm5f,True
720575941392855446,73114225383963430,"[31205, 33112, 2732]",Tm3,True
720575941392856580,73747131697776919,"[49566, 20670, 2547]",L1,True
720575941392892310,73395769214291290,"[39888, 35940, 3211]",,False
720575941392902806,73958856606978746,"[55675, 39877, 3322]",Tm1,True
720575941392967318,73396112207701137,"[39248, 45331, 921]",,False
720575941392970902,73395769214159467,"[39933, 36511, 3163]",Sm15,True
720575941392971670,73185280987079254,"[34375, 53846, 1345]",,False
720575941392971926,73325262897263423,"[37130, 31743, 2806]",T3,True
720575941392986006,73396043421236481,"[39195, 43468, 713]",,False
720575941393017750,73255031659068347,"[35149, 35829, 3054]",Mi10,True
720575941393038998,74099937289378190,"[60289, 49577, 1551]",T5d,True
720575941393057686,73255237682959313,"[35487, 41222, 2416]",Tm5f,True
720575941393062806,73184594396832931,"[32955, 33097, 3835]",Sm04,True
720575941393070486,73255306671157897,"[36310, 43190, 3555]",,False
720575941393088662,73255169030483308,"[35886, 40320, 2633]",Dm2,True
720575941393098134,73255099908330823,"[36334, 38492, 1090]",Tm27,True
720575941393105302,73396250250627808,"[39587, 49343, 3206]",T4b,True
720575941393150102,74310769180930579,"[65949, 41586, 3608]",LMt1,True
720575941393156502,73185006243258813,"[33431, 45351, 1814]",Mi2,True
720575941393173910,73536781648049914,"[43775, 44789, 3582]",T4b,True
720575941393199364,73958649978626395,"[56563, 32921, 1482]",Mi10,True
720575941393211798,73255100378419875,"[36008, 38469, 3003]",Tm27,True
720575941393227414,73184594061049457,"[34628, 33586, 2480]",Mi4,True
720575941393231510,73747681520374987,"[50908, 38296, 2687]",TmY14,True
720575941393256086,73395356629154462,"[40585, 22867, 2243]",Lawf2,True
720575941393282454,73185074626987280,"[34587, 47724, 515]",L4,True
720575941393284502,73395493933675133,"[39203, 26651, 1658]",L3,True
720575941393309846,74100143448098232,"[59591, 57001, 1643]",LPi02,True
720575941393325462,73325674677067899,"[38124, 44244, 711]",Mi9,True
720575941393335190,73395494336571163,"[39552, 27008, 3291]",Dm3p,True
720575941393354646,73958718899485183,"[55789, 36851, 2264]",T2,True
720575941393358742,73325880969222742,"[38866, 49985, 1044]",Mi4,True
720575941393379844,73817707137104066,"[51888, 27402, 4541]",L4,True
720575941393392644,72973762840635194,"[27749, 41871, 2992]",L1,True
720575941393410454,73958307119324918,"[55337, 22789, 4258]",L2,True
720575941393434884,73817432057417539,"[52030, 20455, 3610]",L2,True
720575941393443332,74029156027066969,"[58081, 36947, 806]",L3,True
720575941393443588,73606738209459468,"[45648, 32008, 4086]",L5,True
720575941393506710,73254963140329828,"[35515, 34096, 3595]",C3,True
720575941393526276,73396249512191393,"[39855, 49499, 299]",L1,True
720575941393528836,73466480817449012,"[42409, 45596, 323]",L1,True
720575941393543684,74240125022209160,"[64142, 33465, 1653]",T2a,True
720575941393544708,73254893682842399,"[35481, 31528, 851]",L3,True
720575941393723030,73114225518068177,"[31495, 34792, 3203]",Sm32,True
720575941393732868,73184937255743955,"[33803, 43089, 938]",Tm1,True
720575941393769220,73114912243229863,"[31515, 53920, 1470]",Mi10,True
720575941393778436,73536849763309434,"[44101, 46398, 1224]",TmY16,True
720575941393787908,73114156798500185,"[32011, 32035, 3171]",Tm3,True
720575941393803524,74029225485232130,"[59006, 40648, 3796]",T5d,True
720575941393811204,73607150123181645,"[46046, 44178, 2364]",TmY14,True
720575941393847300,73677106953563095,"[48782, 32381, 4056]",Tm27,True
720575941393847812,74240125693148079,"[64717, 33806, 4153]",T4c,True
720575941393850372,73255374920871862,"[35890, 45723, 1759]",,False
720575941393852164,73396250250341231,"[40771, 49541, 3103]",T2,True
720575941393854980,74381343815671085,"[68404, 47859, 2789]",,False
