root_id,supervoxel_id,position
720575941426295380,73325468585448829,"[38339, 37826, 851]"
720575941426312020,73888762069470272,"[54794, 48620, 723]"
720575941426465876,74169962436188268,"[61675, 40458, 1548]"
720575941426544724,73817775721938082,"[51280, 30048, 3860]"
720575941426591060,73747544483977457,"[49436, 33197, 4179]"
720575941427105108,73466343982488542,"[41193, 42056, 2626]"
720575941427351892,73044131383318626,"[29923, 42704, 2161]"
720575941427354708,73255649664505515,"[35100, 55205, 1226]"
720575941427367252,73536506434208882,"[44335, 36713, 2190]"
720575941427501396,74381480784073032,"[67776, 52976, 978]"
720575941427686740,73044062932330209,"[30001, 38966, 3191]"
720575941427882324,73043650413905616,"[30335, 27560, 2352]"
720575941428321364,74169412815134981,"[61743, 22885, 2258]"
720575941428324180,73466412098010681,"[42018, 43449, 340]"
720575941428372308,73395700629104181,"[40887, 34259, 3749]"
720575941428460628,73043787920406955,"[30503, 31033, 2769]"
720575941428463956,73325125726504052,"[37456, 27519, 3759]"
720575941428576852,73043856170056382,"[29135, 33824, 940]"
720575941428695892,73958719168096839,"[57261, 35362, 3327]"
720575941428844116,73325537841970264,"[38598, 38954, 2961]"
720575941428875092,73748162221271802,"[49751, 52905, 1440]"
720575941428901460,73466137824010250,"[41838, 35597, 2613]"
720575941428940169,73958375502966806,"[55609, 26472, 2875]"
720575941428970324,73747200417281961,"[49212, 23340, 2551]"
720575941429022127,74029087710411486,"[59163, 35276, 2394]"
720575941429267540,74239644522589432,"[63776, 20064, 3640]"
720575941429279480,74099113260092714,"[60072, 25470, 4017]"
720575941429296009,74099181778095866,"[59511, 27053, 3193]"
720575941429327535,74028744314292372,"[58657, 26523, 3136]"
720575941429401263,73958375704261976,"[56740, 26124, 3624]"
720575941429407407,74099181510112201,"[61345, 27454, 2299]"
720575941429408649,73747544416741436,"[51175, 34533, 3874]"
720575941429474953,74311044126564964,"[65644, 50363, 4091]"
720575941429576073,73747131831704455,"[50443, 22440, 2946]"
720575941429655288,73537055854227998,"[44171, 53214, 821]"
720575941429671416,73466068970866108,"[41727, 33621, 2298]"
720575941429683631,73607081806521884,"[46299, 42737, 3966]"
720575941429683704,73536369532390536,"[44622, 32347, 4339]"
720575941429684728,73606738276172518,"[46306, 31567, 4185]"
720575941429716728,73817844575841970,"[52674, 31496, 4455]"
720575941429718409,73677243654355624,"[48512, 36346, 1257]"
720575941429725359,73817844508747397,"[52466, 32151, 4209]"
720575941429726857,73254893682779853,"[35790, 31570, 825]"
720575941429736623,73959199667107316,"[57023, 50408, 1143]"
720575941429775241,73677175068568956,"[48182, 34124, 1574]"
720575941429823113,73466618189261035,"[42832, 49248, 225]"
720575941429893257,73677175471778399,"[48831, 33360, 3308]"
720575941429900425,73747337990433922,"[50578, 27468, 3059]"
720575941430035809,73536781379236533,"[44327, 44666, 2450]"
720575941430257367,73255031323344860,"[35024, 36401, 1702]"
720575941430263137,73606600300621632,"[46646, 28109, 2239]"
720575941430306401,73676694435211446,"[47651, 20281, 3227]"
720575941430349271,73958169344551576,"[56326, 20397, 2870]"
720575941430415457,74169412747521393,"[62128, 23488, 1885]"
720575941430450825,73466137756879091,"[41422, 36115, 2352]"
720575941430509015,73817431923648659,"[51568, 20444, 3260]"
720575941430556887,74240193742048588,"[65082, 35295, 1783]"
720575941430588513,73254962402221351,"[36795, 33185, 813]"
720575941430591841,73395631439842051,"[39611, 32166, 1954]"
720575941430602232,73325400268950876,"[37033, 35531, 2512]"
720575941430645240,73114843858720929,"[30733, 52252, 2560]"
720575941430680239,73255306133706284,"[36232, 43458, 1284]"
720575941430701153,73396387085506888,"[40125, 54886, 879]"
720575941430712457,73325606695441029,"[37478, 42923, 3398]"
720575941430722657,73677862061825004,"[48579, 54808, 771]"
720575941430724489,73325537774552203,"[37911, 40800, 2589]"
720575941430732759,73466000452465637,"[42523, 31959, 2986]"
720575941430747384,73184662981993783,"[33150, 35880, 3300]"
720575941430762121,73255580944805263,"[36777, 52319, 1145]"
720575941430765999,73185280987344294,"[34336, 54738, 1448]"
720575941430793431,73888556179342569,"[53719, 42560, 1691]"
720575941430802647,73465999781449257,"[41664, 32576, 492]"
720575941430803849,73395562854490863,"[39759, 30179, 2429]"
720575941430812847,74311043723881927,"[65892, 49170, 2551]"
720575941430816865,73325537640833017,"[38760, 40664, 2259]"
720575941430837207,73958650314112263,"[57166, 34522, 2736]"
720575941430870487,73747062910830243,"[49712, 18512, 2151]"
720575941430878712,73185143615252473,"[34536, 50590, 1618]"
720575941430893560,73325606628479037,"[37303, 41061, 3196]"
720575941430915209,73114224981044248,"[31964, 34007, 1101]"
720575941431039447,73536369465070834,"[44890, 31934, 4003]"
720575941431051439,74029087576041108,"[57507, 34952, 1825]"
720575941431055864,73325812250273409,"[38625, 48651, 1236]"
720575941431077079,73747543946971191,"[49494, 34247, 2083]"
720575941431149048,73676694435388120,"[48010, 20040, 3288]"
720575941431215352,73113950237736100,"[31001, 25726, 1749]"
720575941431251470,74170512661768825,"[62321, 55683, 3343]"
720575941431277743,73888556649085316,"[54658, 42551, 3480]"
720575941431302670,73888968294944329,"[54777, 54465, 958]"
720575941431322761,73113881651991692,"[32666, 24429, 2158]"
720575941431362830,73747406642534611,"[50699, 29380, 2704]"
720575941431413935,73184662310539599,"[33309, 36064, 602]"
720575941431435256,74662818859112321,"[77514, 48881, 2914]"
720575941431438945,73536506904148209,"[44900, 36297, 4039]"
720575941431455073,73114431005150581,"[32557, 40359, 551]"
720575941431511649,73325606091938209,"[38704, 41706, 1267]"
720575941431633111,73466000519555503,"[42569, 32443, 3234]"
720575941431663201,73255306670993030,"[36312, 44391, 3488]"
720575941431690766,73818187300703694,"[51635, 41890, 1097]"
720575941431694350,73677381026198646,"[49081, 40148, 1000]"
720575941431757271,73255581078991352,"[34938, 52810, 1650]"
720575941431777038,73748024714795984,"[50106, 47904, 1031]"
720575941431812622,73818324672760907,"[52309, 46657, 916]"
720575941431847895,73325331348140807,"[37396, 33528, 1743]"
720575941431860065,73817706801573095,"[51917, 28275, 3258]"
720575941431871224,73114705950092601,"[30930, 47728, 776]"
720575941431874552,73677518330758568,"[47105, 43569, 420]"
720575941431907543,73114843792175095,"[32220, 53008, 2491]"
720575941431945230,73395425482681165,"[40158, 26505, 2695]"
720575941432077838,73888144399041772,"[54518, 30431, 3622]"
720575941432096727,73888143728256301,"[53815, 30449, 1169]"
720575941432166103,73395905915139518,"[39910, 40521, 441]"
720575941432253577,73606737873771150,"[45715, 31500, 2747]"
720575941432304303,73676969313033785,"[47495, 27920, 3192]"
720575941432308472,73677244392587473,"[48704, 36552, 4080]"
720575941432330671,73818119319556156,"[51732, 40303, 3964]"
720575941432333193,74099524905525290,"[60364, 37512, 1331]"
720575941432369801,74029156564550165,"[58464, 38166, 3064]"
720575941432370313,74521943596224949,"[71763, 44053, 1619]"
720575941432383625,73114775206454318,"[31674, 51008, 2843]"
720575941432385016,73395768811689605,"[40622, 35985, 1700]"
720575941432397449,73254825030642299,"[34915, 28780, 1180]"
