root_id,supervoxel_id,position,type,is_fafb_ol_type,confidence
720575941616842393,78250800178351639,"[180586, 22989, 2878]",Tm5f,True,low
720575941617383125,79165937651420802,"[207390, 32828, 3678]",R8,True,low
720575941617906559,77899643652287419,"[170671, 44073, 2896]",LC16,True,
720575941618183125,78181530812025773,"[179929, 56943, 2521]",LLPC2,True,
720575941618237397,77547868784866170,"[161608, 45892, 3336]",MTe38,True,
720575941618308309,77688812297634865,"[163889, 52823, 2899]",,False,
720575941618408405,79869074532165773,"[228413, 18068, 672]",,False,
720575941618420351,78040174781239291,"[175389, 38510, 2254]",LC16,True,
720575941618437573,79235756505586031,"[209175, 18412, 3126]",,False,
720575941618564565,78392636977089403,"[186195, 56162, 2138]",LLPC1,True,
720575941618604757,79236236736266192,"[209010, 30880, 139]",,False,
720575941618742741,79377043481733224,"[214029, 33228, 2280]",,False,
720575941618748117,77899437560883961,"[170737, 37641, 3134]",LC10d,True,
720575941618938325,77618168742563269,"[162833, 43693, 3111]",,False,
720575941619925119,78181462361013070,"[178611, 53429, 3567]",LPC1,True,
720575941620348287,79025405717974488,"[202829, 40495, 1521]",,False,
720575941621169535,78040312354361820,"[174186, 41996, 2751]",LC22,True,
720575941621202629,78743381522021082,"[194689, 22555, 3467]",,False,
720575941621203583,79517780567210379,"[217139, 33965, 660]",,False,
720575941621206911,78392292976893119,"[185461, 46309, 595]",,False,
720575941621255551,78251144178378371,"[180607, 34296, 4414]",,False,
720575941621282175,78743449973062972,"[195332, 26455, 2430]",,False,
720575941621325951,78321168989932764,"[182632, 23924, 3240]",,False,
720575941621508479,77196025131145386,"[151186, 45996, 3612]",,False,
720575941621508991,77688674859039863,"[165732, 48435, 3027]",LC10d,True,
720575941621517951,77548074742590907,"[161672, 51364, 2793]",LPC2,True,
720575941621590213,78743450375752430,"[195998, 26568, 3988]",,False,
720575941621597567,77336006772487810,"[155554, 22833, 3895]",,False,
720575941622457541,78392018233202958,"[184709, 37100, 1051]",,False,
720575941622746309,79236236736222710,"[209886, 30796, 120]",,False,
720575941623031036,77970561951012715,"[172839, 59637, 2148]",LLPC3,True,
720575941623514876,78110749885042640,"[176375, 43490, 2985]",LC17,True,
720575941623590396,78110269184343553,"[178102, 28898, 4284]",,False,
720575941623772156,78040175049449438,"[174928, 38709, 3198]",,False,
720575941623894218,78040587164839396,"[174844, 50096, 2383]",LC12,True,
720575941623915931,77899643451283343,"[170075, 44841, 2245]",LC16,True,
720575941624038908,78602712552115306,"[190661, 24793, 2800]",MTe21,True,
720575941624062875,77688812298020812,"[164341, 51506, 3035]",,False,
720575941624101002,77969874756506304,"[172591, 40649, 2246]",LC16,True,
720575941624167050,77758906163842412,"[166545, 43055, 2869]",LC12,True,
720575941624222875,79376836785655841,"[213678, 27451, 174]",,False,
720575941624224876,78111230719874199,"[177815, 57422, 2144]",LPC2,True,
720575941624579580,77899300256533199,"[171889, 33591, 3792]",LC10a,True,
720575941624595196,77618374565526556,"[161898, 49882, 1861]",LC16,True,
720575941624652652,77618168608867396,"[161826, 44208, 2797]",LC12,True,
720575941624691196,77899437762360599,"[170591, 37241, 3958]",,False,
720575941624717052,78462112771030848,"[188202, 29664, 3798]",,False,
720575941624781706,77900124487493198,"[171174, 58992, 2206]",LPC2,True,
720575941625014154,78392568123770194,"[185180, 53725, 1774]",LPC1,True,
720575941625031306,77617893932085643,"[161976, 36116, 3480]",LC21,True,
720575941625057930,77688743645135515,"[165367, 51154, 3103]",,False,
720575941625082364,78603674422987795,"[191184, 54183, 1871]",,False,
720575941625140732,78180706446703542,"[179963, 32648, 3533]",LPLC4,True,
720575941625153788,77969737384303635,"[172928, 36289, 2381]",LC10a,True,
720575941625183370,78814024405567382,"[198633, 32221, 522]",,False,
720575941625186044,77899299987691529,"[171433, 34740, 2602]",,False,
720575941625270524,78111230719827003,"[176532, 59026, 2132]",,False,
720575941625327612,78110612177766791,"[177118, 40590, 1997]",LPLC1,True,
720575941625331452,77618030968341187,"[163264, 40544, 1939]",LC15,True,
720575941625403132,78744205686387710,"[194880, 48766, 1791]",,False,
720575941625448394,77759180974853771,"[167654, 51292, 2677]",,False,
720575941625534204,79446862469405423,"[216419, 17721, 2217]",,False,
720575941625574652,77618168742980274,"[163704, 45000, 3260]",,False,
720575941625582588,79025062321382339,"[203872, 30460, 2085]",,False,
720575941625583868,78884874253423671,"[200429, 45095, 868]",,False,
720575941625587308,77829137268341688,"[168232, 39638, 2293]",LC10d,True,
720575941625595900,77969737518349004,"[172181, 36113, 2831]",,False,
720575941625597948,78039968891152705,"[175116, 31437, 3251]",,False,
